ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues
1165641000033115	39703311000001102	Reboxetine 4mg tablets	Reboxetine 4mg tablets	Reboxetine mesilate	4.000mg	Tablet/ Oral Tablet	Oral	04030400	340408
1278741000033112	39704011000001103	Sertraline 100mg tablets	Sertraline 100mg tablets	Sertraline hydrochloride	100.000mg	Tablet/ Oral Tablet	Oral	04030300	31458270
1278841000033119	39704111000001102	Sertraline 50mg tablets	Sertraline 50mg tablets	Sertraline hydrochloride	50.000mg	Tablet/ Oral Tablet	Oral	04030300	40592299
1454641000033112	42280711000001105	Trazodone 50mg capsules	Trazodone 50mg capsules	Trazodone hydrochloride	50.000mg	Capsule/ Oral capsule	Oral	04030100	3093427
1454741000033115	42281111000001103	Trimipramine 50mg capsules	Trimipramine 50mg capsules	Trimipramine maleate	50.000mg	Capsule/ Oral capsule	Oral	04030100	473384
1455241000033113	42280411000001104	Trazodone 100mg capsules	Trazodone 100mg capsules	Trazodone hydrochloride	100.000mg	Capsule/ Oral capsule	Oral	04030100	2019998
1461941000033113	3909411000001104	Trazodone 50mg/5ml oral solution sugar free	Trazodone 50mg/5ml oral solution sugar free	Trazodone hydrochloride	10.000mg/1.000ml	Oral solution	Oral	04030100	374237
1462241000033110	4557211000001109	Trazodone 150mg modified-release tablets	Trazodone 150mg modified-release tablets	Trazodone hydrochloride	150.000mg	Modified-release tablet	Oral	04030100	10476
1469441000033116	39708811000001101	Tranylcypromine 10mg tablets	Tranylcypromine 10mg tablets	Tranylcypromine sulfate	10.000mg	Tablet/ Oral Tablet	Oral	04030200	100509
1471341000033116	42280911000001107	Trimipramine 10mg tablets	Trimipramine 10mg tablets	Trimipramine maleate	10.000mg	Tablet/ Oral Tablet	Oral	04030100	133108
1471441000033110	42281011000001104	Trimipramine 25mg tablets	Trimipramine 25mg tablets	Trimipramine maleate	25.000mg	Tablet/ Oral Tablet	Oral	04030100	403487
1473641000033113	42280611000001101	Trazodone 150mg tablets	Trazodone 150mg tablets	Trazodone hydrochloride	150.000mg	Tablet/ Oral Tablet	Oral	04030100	1517662
1474141000033117	41989911000001101	Tryptophan 500mg tablets	Tryptophan 500mg tablets	Tryptophan	500.000mg	Tablet/ Oral Tablet	Oral	04030400	38967
1509241000033110	38750411000001106	Venlafaxine 150mg modified-release capsules	Venlafaxine 150mg modified-release capsules	Venlafaxine hydrochloride	150.000mg	Modified-release capsule	Oral	04030400	4297428
1509341000033117	38750311000001104	Venlafaxine 75mg modified-release capsules	Venlafaxine 75mg modified-release capsules	Venlafaxine hydrochloride	75.000mg	Modified-release capsule	Oral	04030400	5279761
1512241000033119	39707611000001104	Venlafaxine 37.5mg tablets	Venlafaxine 37.5mg tablets	Venlafaxine hydrochloride	37.500mg	Tablet/ Oral Tablet	Oral	04030400	3717828
1512341000033112	39707411000001102	Venlafaxine 75mg tablets	Venlafaxine 75mg tablets	Venlafaxine hydrochloride	75.000mg	Tablet/ Oral Tablet	Oral	04030400	3921658
1512441000033118	39707311000001109	Venlafaxine 50mg tablets	Venlafaxine 50mg tablets	Venlafaxine hydrochloride	50.000mg	Tablet/ Oral Tablet	Oral	04030400	27524
1583141000033116	42269511000001106	Citalopram 40mg tablets	Citalopram 40mg tablets	Citalopram hydrobromide	40.000mg	Tablet/ Oral Tablet	Oral	04030300	11709428
1583341000033118	42269311000001100	Citalopram 10mg tablets	Citalopram 10mg tablets	Citalopram hydrobromide	10.000mg	Tablet/ Oral Tablet	Oral	04030300	23936010
1662441000033114	36565911000001109	Paroxetine 10mg/5ml oral suspension sugar free	Paroxetine 10mg/5ml oral suspension sugar free	Paroxetine hydrochloride	2.000mg/1.000ml	Oral suspension	Oral	04030300	213418
1900641000033112	42269611000001105	Citalopram 40mg/ml oral drops sugar free	Citalopram 40mg/ml oral drops sugar free	Citalopram hydrochloride	40.000mg/1.000ml	Oral drops	Oral	04030300	448295
2749541000033116	42271211000001104	Escitalopram 10mg tablets	Escitalopram 10mg tablets	Escitalopram oxalate	10.000mg	Tablet/ Oral Tablet	Oral	04030300	4442524
2770641000033114	42271811000001103	Fluoxetine 20mg/5ml oral solution	Fluoxetine 20mg/5ml oral solution	Fluoxetine hydrochloride	4.000mg/1.000ml	Oral solution	Oral	04030300	804413
2951341000033116	42271311000001107	Escitalopram 20mg tablets	Escitalopram 20mg tablets	Escitalopram oxalate	20.000mg	Tablet/ Oral Tablet	Oral	04030300	2746300
2974841000033114	42274611000001100	Mirtazapine 30mg orodispersible tablets	Mirtazapine 30mg orodispersible tablets	Mirtazapine	30.000mg	Orodispersible tablet	Oral	04030400	1255794
3029641000033112	42274411000001103	Mirtazapine 15mg orodispersible tablets	Mirtazapine 15mg orodispersible tablets	Mirtazapine	15.000mg	Orodispersible tablet	Oral	04030400	1561941
3029741000033115	5627911000001100	Mirtazapine 45mg orodispersible tablets	Mirtazapine 45mg orodispersible tablets	Mirtazapine	45.000mg	Orodispersible tablet	Oral	04030400	1423572
3030341000033110	42271411000001100	Escitalopram 5mg tablets	Escitalopram 5mg tablets	Escitalopram oxalate	5.000mg	Tablet/ Oral Tablet	Oral	04030300	1541666
3058741000033113	9103511000001102	Mirtazapine 15mg/ml oral solution sugar free	Mirtazapine 15mg/ml oral solution sugar free	Mirtazapine	15.000mg/1.000ml	Oral solution	Oral	04030400	43779
3088941000033118	42270611000001107	Dosulepin 25mg capsules	Dosulepin 25mg capsules	Dosulepin hydrochloride	25.000mg	Capsule/ Oral capsule	Oral	04030100	7352138
3089041000033110	42270711000001103	Dosulepin 75mg tablets	Dosulepin 75mg tablets	Dosulepin hydrochloride	75.000mg	Tablet/ Oral Tablet	Oral	04030100	7493949
3089141000033114	8454311000001101	Dosulepin 25mg/5ml oral solution	Dosulepin 25mg/5ml oral solution	Dosulepin hydrochloride	5.000mg/1.000ml	Oral solution	Oral	04030100	10154
3089241000033119	8454111000001103	Dosulepin 75mg/5ml oral solution	Dosulepin 75mg/5ml oral solution	Dosulepin hydrochloride	15.000mg/1.000ml	Oral solution	Oral	04030100	6333
3091041000033110	39692311000001104	Flupentixol 1mg tablets	Flupentixol 1mg tablets	Flupentixol dihydrochloride	1.000mg	Tablet/ Oral Tablet	Oral	04030400	503608
